,x,y
595,693640.7314381866,1200138.0031457036
596,693640.7308141956,1200137.9719014154
597,693640.7301987062,1200137.9410828147
598,693640.7390423716,1200137.112249354
599,693640.7384294368,1200137.0802625373
600,693640.737806265,1200137.0477414872
601,693640.7372034385,1200137.0162821843
602,693640.7365943829,1200136.9844978054
603,693640.7359787923,1200136.9523723905
604,693640.9573829946,1200136.0109377825
605,693640.9570100212,1200135.9786282072
606,693640.9566425681,1200135.94679684
607,693640.956280097,1200135.9153970473
608,693640.9559056358,1200135.882958593
609,693641.2876993924,1200135.0149312213
610,693641.2876775202,1200134.982856947
611,693641.2876554345,1200134.9504697279
612,693641.2876324963,1200134.9168324398
613,693641.2876089425,1200134.8822922292
614,693641.2875864633,1200134.8493278578
615,693641.8340282104,1200133.9139682557
616,693641.8346423336,1200133.8809134057
617,693641.835250105,1200133.8482004309
618,693641.8358719592,1200133.8147294598
619,693641.8364933804,1200133.7812817986
620,693641.8370924745,1200133.7490358807
621,693641.8560595182,1200133.0223896368
622,693641.8566693469,1200132.989888546
623,693641.857275978,1200132.9575578729
624,693641.8579085814,1200132.9238429905
625,693641.8585205473,1200132.891227998
626,693641.8617158753,1200132.1383119475
627,693641.8623227682,1200132.1053385108
628,693641.8629335129,1200132.0721557941
629,693641.863538375,1200132.0392926892
630,693641.8641489747,1200132.0061178533
631,693641.864768648,1200131.972450027
632,693642.0769496049,1200131.5751196656
633,693642.0778126243,1200131.5407225213
634,693642.0786439208,1200131.507589745
635,693642.0795564313,1200131.4712200456
636,693642.0803860524,1200131.4381540464
637,693642.0812189581,1200131.4049571294
638,693640.6039655169,1200130.9057300957
639,693640.6031584258,1200130.8727954791
640,693640.602335615,1200130.8392193937
641,693640.6014943382,1200130.804889781
642,693640.6006724356,1200130.7713507542
643,693640.5998507708,1200130.7378214332
644,693639.922887132,1200130.7740663413
645,693639.9211488256,1200130.7386983745
646,693639.9195030982,1200130.7052140443
647,693639.9178776795,1200130.6721429161
648,693639.91624399,1200130.6389035117
649,693639.1605996257,1200130.6596041627
650,693639.1578578597,1200130.6225452453
651,693639.1554074886,1200130.5894249484
652,693639.1529741014,1200130.5565342137
653,693639.1505321246,1200130.5235273784
654,693639.1480779792,1200130.4903560677
655,693638.2897099389,1200130.5427649568
656,693638.2861683635,1200130.509192121
657,693638.2826988443,1200130.4763023516
658,693638.279261237,1200130.4437150953
659,693638.275783023,1200130.410742902
660,693638.272325806,1200130.3779697535
661,693637.8393477515,1200130.429715427
662,693637.8354141489,1200130.39700622
663,693637.831475074,1200130.364251509
664,693637.8275770411,1200130.3318380753
665,693637.8235954511,1200130.2987298367
666,693637.8196024956,1200130.2655270905
667,693637.7193511567,1200130.4256267848
668,693637.7152844274,1200130.3928932843
669,693637.7111667148,1200130.3597494145
670,693637.7070922838,1200130.326953922
671,693637.70301449,1200130.2941313626
672,693637.698878662,1200130.2608416807
673,693637.8215661783,1200130.4260858234
674,693637.8174859242,1200130.3923079832
675,693637.8131142159,1200130.3561173778
676,693637.809091347,1200130.3228145943
677,693637.8050480512,1200130.289342708
678,693638.2480673138,1200130.5365521414
679,693638.2443726417,1200130.5016683412
680,693638.2408347132,1200130.4682644599
681,693638.2374092974,1200130.4359228835
682,693638.2338503592,1200130.4023206355
683,693638.230412872,1200130.3698650855
684,693638.4731816405,1200130.5403165792
685,693638.4699632424,1200130.5075048916
686,693638.4667071843,1200130.4743092589
687,693638.463376147,1200130.44034921
688,693638.4601943864,1200130.407911044
689,693638.457009729,1200130.3754433438
690,693638.6921335352,1200130.5417797277
691,693638.6890638322,1200130.5080014328
692,693638.6860619173,1200130.4749690637
693,693638.6830698554,1200130.442045114
694,693638.6800261642,1200130.4085530464
695,693639.1241314654,1200130.3307946974
696,693639.1216170104,1200130.29709061
697,693639.1191638521,1200130.2642081499
698,693639.116755597,1200130.2319275795
699,693639.1143003651,1200130.1990173263
700,693639.1118787621,1200130.1665578391
701,693639.4591557926,1200129.6821012348
702,693639.4571400244,1200129.6495837152
703,693639.4550512054,1200129.6158877718
704,693639.4530438785,1200129.5835064258
705,693639.4510024072,1200129.5505742757
706,693639.4489127765,1200129.5168652385
707,693639.8978171697,1200128.9141048037
708,693639.8962301363,1200128.8796677287
709,693639.8947108567,1200128.8467008448
710,693639.8932045288,1200128.814015001
711,693639.8916920085,1200128.781194785
712,693639.8901714742,1200128.7482006752
713,693640.3397095628,1200128.1423960174
714,693640.338691882,1200128.1086743122
715,693640.3376066881,1200128.072715508
716,693640.3366135648,1200128.0398075343
717,693640.3356064694,1200128.0064365906
718,693640.676396271,1200127.26375767
719,693640.6757705907,1200127.2296637911
720,693640.6751642083,1200127.196621473
721,693640.674551834,1200127.163252655
722,693640.6739312966,1200127.1294390142
723,693640.6733230856,1200127.0962970557
724,693641.0097419305,1200126.379842328
725,693641.009513148,1200126.3451137342
726,693641.0092894336,1200126.3111544591
727,693641.0090664685,1200126.277308925
728,693641.0088461406,1200126.243863723
729,693641.0086060655,1200126.2074209554
730,693640.9210439984,1200125.17256456
731,693640.9207233522,1200125.1382829375
732,693640.9203956351,1200125.1032453286
733,693640.9200776024,1200125.0692431314
734,693640.9197607454,1200125.0353666306
735,693640.5006862852,1200124.0617835114
736,693640.4998415788,1200124.0272756137
737,693640.4990039329,1200123.9930561567
738,693640.498146848,1200123.9580425753
739,693640.4973076382,1200123.9237592232
740,693640.4964727854,1200123.8896538645
741,693640.5972676208,1200123.3837937391
742,693640.5965570853,1200123.349083596
743,693640.5958345172,1200123.3137856582
744,693640.595116886,1200123.2787288905
745,693640.5944151729,1200123.2444497356
746,693640.5937018216,1200123.209602043
747,693640.2855221225,1200122.8249156224
748,693640.2844536478,1200122.790546832
749,693640.2833917504,1200122.7563896095
750,693640.2823229611,1200122.7220107005
751,693640.2812401593,1200122.6871810593
