time,verror,vsteer,gsteer
138,5.25,2.625809250633913,25.0
139,3.25,1.6250000005792362,25.0
140,3.3500000000000014,1.6749999995836746,25.0
141,-0.8000000000000007,-0.400000000362023,25.0
142,2.8499999999999996,1.4249999996560783,25.0
143,1.799999999999999,0.9000000002896176,25.0
144,1.8000000000000007,0.9000000007240456,22.807952288807723
145,-8.35,-4.175000000977461,22.08178178208819
146,-4.9,-2.4482032854209446,23.326051227942866
147,0.6999999999999993,0.34999999965607814,25.0
148,4.0,2.0000000001991123,-25.0
149,5.25,2.625,24.23222983021685
150,1.6499999999999986,0.8249999986243133,25.0
151,3.9000000000000004,1.949999999565573,25.0
152,-6.95,-3.4750000004706294,24.941055957550958
153,-0.8000000000000007,-0.4000000001991128,25.0
154,2.9000000000000004,1.4500000002896183,25.0
155,-1.25,-0.624999999728483,25.0
156,-3.3500000000000005,-1.675000000362023,25.0
157,4.1,2.0500000016472026,25.0
158,2.9499999999999993,1.475000001411888,25.0
159,1.9499999999999993,0.9750000005430336,25.0
160,0.6500000000000004,0.31192301704678155,25.0
161,2.75,1.3750000003258205,25.0
162,-1.0,-0.5000000004525283,25.0
163,8.149999999999999,4.07499999904064,25.0
164,-1.6500000000000004,-0.8249999998732922,25.0
165,-3.4499999999999993,-1.7249999997465837,25.0
166,0.8499999999999996,0.42500000047062925,25.0
167,1.75,0.8750000000905057,25.0
168,3.3500000000000014,1.6750000002534167,25.0
169,0.6500000000000004,0.32499999952937075,25.0
170,3.0500000000000007,1.5250000001629105,25.0
171,4.25,2.125000000434427,25.0
172,-5.3500000000000005,-2.675000001357585,9.323296015568106
173,-23.8,-11.900000001321382,10.990926392831563
174,-22.1,-11.049999999565573,-25.0
175,-17.549999999999997,-8.775000000253414,-4.415251938473967
176,-25.25,-12.62500000177391,0.6788104226360637
177,-24.4,-12.199999998751021,-25.0
178,-6.35,-3.1749999982803923,-8.61477061189081
179,-2.000000000000001,-1.000000000199113,3.3117800539661686
180,-7.45,-3.725000000543034,13.693759036004815
181,-21.6,-10.799999999619876,10.911712806710465
182,-17.6,-8.799999999312158,-25.0
183,-14.6,-7.309910188912976,7.139152961593226
184,-23.049999999999997,-11.524999999257853,-8.825746475671666
185,-17.5,-8.75000000016291,-0.7037575239875082
186,-18.7,-9.350000000633539,4.280418102938498
